id,text,word_count,char_count,sentiment,sentiment_positive,sentiment_negative,complexity_level,lexical_diversity,avg_sentence_length,intents,entities,top_keywords,tokens,lemmas
995619,у нас получается посылка пришла но почему то штрих код не найден на ней кошмар готов,17,84,NEGATIVE,0.0,1,HIGH,1.0,17.0,QUESTION | COMPLAINT,,получаетс:1 | посылк:1 | пришл:1 | почем:1 | штрих:1,у нас получается посылка пришла но почему то штрих код не наи ден на неи кошмар готов,у нас получаетс посылк пришл но почем то штрих код не наи ден на неи кошмар гот
18200108,посылку триста девяносто девять пятьсот девяносто два двести пятьдесят семь где она есть неделю не дождусь уже алло ася услышала или глухая,22,139,NEUTRAL,0.0,0,HIGH,0.9545454545454546,22.0,QUESTION,,девяност:2 | посылк:1 | трист:1 | девять:1 | пятьсот:1,посылку триста девяносто девять пятьсот девяносто два двести пятьдесят семь где она есть неделю не дождусь уже алло ася услышала или глухая,посылк трист девяност девять пятьсот девяност два двест пятьдесят семь где она быть недел не дождусь уже алл ася услышал или глух
137382,провести инвентаризацию постоматов,3,34,NEUTRAL,0.0,0,LOW,1.0,3.0,UNKNOWN,,провест:1 | инвентаризаци:1 | постомат:1,провести инвентаризацию постоматов,провест инвентаризаци постомат
422060,плохое качество товара,3,22,NEUTRAL,0.0,0,LOW,1.0,3.0,COMPLAINT,,плох:1 | качеств:1 | товар:1,плохое качество товара,плох качеств товар
1119986,не удается доставить заказ,4,26,NEUTRAL,0.0,0,LOW,1.0,4.0,UNKNOWN,,удаетс:1 | доставить:1 | заказ:1,не удается доставить заказ,не удаетс доставить заказ
18732080,нет я вчера звонила с вашим специалистом я отказываюсь от заказа так как мне привезли с ленинграда точно такой же понимаете что я заказала и он мне сказал через двенадцать дней этот посылка возвратится назад,35,207,NEUTRAL,0.0,0,HIGH,0.8857142857142857,35.0,QUESTION,,вчер:1 | звонил:1 | вашим:1 | специалист:1 | отказываюсь:1,нет я вчера звонила с вашим специалистом я отказываюсь от заказа так как мне привезли с ленинграда точно такои же понимаете что я заказала и он мне сказал через двенадцать днеи этот посылка возвратится назад,нет я вчер звонил с вашим специалист я отказываюсь от заказ так как мне привезл с ленинград точн тако же понимает что я заказал и он мне сказал через двенадцать дне этот посылк возвратитс назад
17024583,а нет не получится сделайте на возврат,8,38,NEUTRAL,0.0,0,LOW,1.0,8.0,UNKNOWN,,получитс:1 | сдела:1 | возврат:1,а нет не получится сделаи те на возврат,а нет не получитс сдела те на возврат
4167789,соедини с вашим главным специалистом,5,36,NEUTRAL,0.0,0,LOW,1.0,5.0,UNKNOWN,,соедин:1 | вашим:1 | главн:1 | специалист:1,соедини с вашим главным специалистом,соедин с вашим главн специалист
13150608,а у нас проблема с доставкой товара товар пришел разбитый нам его не выдали,14,75,NEUTRAL,0.0,0,MEDIUM,1.0,14.0,COMPLAINT,,товар:2 | проблем:1 | доставко:1 | пришел:1 | разбиты:1,а у нас проблема с доставкои товара товар пришел разбитыи нам его не выдали,а у нас проблем с доставко товар товар пришел разбиты нам его не выдал
5642824,поговорите с заказами найден,5,28,NEUTRAL,0.0,0,LOW,1.0,5.0,UNKNOWN,,поговорит:1 | заказ:1 | наи:1 | ден:1,поговорите с заказами наи ден,поговорит с заказ наи ден
11623276,не могу получить заказ кода,5,27,NEUTRAL,0.0,0,LOW,1.0,5.0,UNKNOWN,,мог:1 | получить:1 | заказ:1 | код:1,не могу получить заказ кода,не мог получить заказ код
18320390,але нам не дают распечатать этикетку по адресу уссурийская одиннадцать уссурийская дом одиннадцать не дают наклейку,19,115,NEUTRAL,0.0,0,HIGH,0.7368421052631579,19.0,UNKNOWN,ADDRESS:дом одиннадцать не дают наклейку,дают:2 | уссури:2 | ска:2 | одиннадцать:2 | але:1,але нам не дают распечатать этикетку по адресу уссурии ская одиннадцать уссурии ская дом одиннадцать не дают наклеи ку,але нам не дают распечатать этикетк по адрес уссури ска одиннадцать уссури ска дом одиннадцать не дают накле ку
17533601,я постараюсь еще продлить потому что я плохо себя чувствую продлить продлевать буду,13,83,NEGATIVE,0.0,1,MEDIUM,0.8461538461538461,13.0,QUESTION | COMPLAINT,,продлить:2 | постараюсь:1 | плох:1 | чувств:1 | продлевать:1,я постараюсь еще продлить потому что я плохо себя чувствую продлить продлевать буду,я постараюсь еще продлить пот что я плох себ чувств продлить продлевать буд
12270151,доставка заказа задерживает,3,27,NEUTRAL,0.0,0,LOW,1.0,3.0,UNKNOWN,,доставк:1 | заказ:1 | задерживает:1,доставка заказа задерживает,доставк заказ задерживает
2372679,вернуть товары для ламоды,4,25,NEUTRAL,0.0,0,LOW,1.0,4.0,UNKNOWN,,вернуть:1 | товар:1 | ламод:1,вернуть товары для ламоды,вернуть товар для ламод
22078633,я бы хотел узнать почему доставка так плохо работает нам испортили заказ на десять тысяч рублей,16,95,NEGATIVE,0.0,1,HIGH,1.0,16.0,QUESTION | COMPLAINT,,хотел:1 | узнать:1 | почем:1 | доставк:1 | плох:1,я бы хотел узнать почему доставка так плохо работает нам испортили заказ на десять тысяч рублеи,я бы хотел узнать почем доставк так плох работает нам испортил заказ на десять тысяч рубле
175471,хочу узнать когда это посылку как забрать,7,41,NEUTRAL,0.0,0,LOW,1.0,7.0,QUESTION | REQUEST,,хоч:1 | узнать:1 | это:1 | посылк:1 | забрать:1,хочу узнать когда это посылку как забрать,хоч узнать когд это посылк как забрать
2812006,по смс код выдачи пришел в постамате он не найден что делать,13,60,NEUTRAL,0.0,0,MEDIUM,1.0,13.0,QUESTION,,смс:1 | код:1 | выдач:1 | пришел:1 | постамат:1,по смс код выдачи пришел в постамате он не наи ден что делать,по смс код выдач пришел в постамат он не наи ден что делать
6208844,ну мы не можем получить заказ по вводному коду,9,46,NEUTRAL,0.0,0,LOW,1.0,9.0,UNKNOWN,,мож:1 | получить:1 | заказ:1 | вводн:1 | код:1,ну мы не можем получить заказ по вводному коду,ну мы не мож получить заказ по вводн код
16841781,почему заказ пришел на другой адрес,6,35,NEUTRAL,0.0,0,LOW,1.0,6.0,QUESTION,,почем:1 | заказ:1 | пришел:1 | друго:1 | адрес:1,почему заказ пришел на другои адрес,почем заказ пришел на друго адрес
565475,а неправильно доставлен заказ,4,29,NEUTRAL,0.0,0,LOW,1.0,4.0,UNKNOWN,,неправильн:1 | доставлен:1 | заказ:1,а неправильно доставлен заказ,а неправильн доставлен заказ
12344103,мне нужно вернуть заказ как его вернуть,7,39,NEUTRAL,0.0,0,LOW,0.8571428571428571,7.0,QUESTION | REQUEST,,вернуть:2 | нужный:1 | заказ:1,мне нужно вернуть заказ как его вернуть,мне нужный вернуть заказ как его вернуть
11030619,ну извините у меня болит поясница я плохо хожу поэтому мне нужно когда кто то дома есть завтра можете принести нет,21,114,NEGATIVE,0.0,1,HIGH,1.0,21.0,QUESTION | REQUEST | COMPLAINT,,извинит:1 | болит:1 | поясниц:1 | плох:1 | хож:1,ну извините у меня болит поясница я плохо хожу поэтому мне нужно когда кто то дома есть завтра можете принести нет,ну извинит у мен болит поясниц я плох хож поэт мне нужный когд кто то дом быть завтр может принест нет
6343990,я хочу вам сказать что передайте оператору который только что со мной разговаривает большое спасибо я все увидела мне пришла смска спасибо вам огромное передайте оператору будьте так добры ася хорошо,33,199,POSITIVE,3.5,0,HIGH,0.7878787878787878,33.0,QUESTION | REQUEST | THANKS,,переда:2 | оператор:2 | спасиб:2 | хоч:1 | сказать:1,я хочу вам сказать что передаи те оператору которыи только что со мнои разговаривает большое спасибо я все увидела мне пришла смска спасибо вам огромное передаи те оператору будьте так добры ася хорошо,я хоч вам сказать что переда те оператор которы тольк что со мно разговаривает больш спасиб я все увидел мне пришл смск спасиб вам огромн переда те оператор будьт так добр ася хорош
15804961,почему такое состояние пришло очень плохое состояние,7,52,NEUTRAL,0.0,0,LOW,0.8571428571428571,7.0,QUESTION | COMPLAINT,,состояни:2 | почем:1 | так:1 | пришл:1 | очень:1,почему такое состояние пришло очень плохое состояние,почем так состояни пришл очень плох состояни
18843661,буду ждать когда освободятся нужна связь с оператором,8,53,NEUTRAL,0.0,0,LOW,1.0,8.0,QUESTION,,буд:1 | ждать:1 | освободятс:1 | нужн:1 | связь:1,буду ждать когда освободятся нужна связь с оператором,буд ждать когд освободятс нужн связь с оператор
11812452,да скорее всего да этого я сегодня сейчас направлю человека пусть заберет,13,73,NEUTRAL,0.0,0,MEDIUM,0.9230769230769231,13.0,UNKNOWN,,скоре:1 | сегодн:1 | сеи:1 | час:1 | направл:1,да скорее всего да этого я сегодня сеи час направлю человека пусть заберет,да скоре всег да этог я сегодн сеи час направл человек пусть заберет
13683300,мне нужен статус заказа соедините пожалуйста с оператором,9,57,NEUTRAL,0.0,0,LOW,1.0,9.0,REQUEST,,нужен:1 | статус:1 | заказ:1 | соединит:1 | пожалу:1,мне нужен статус заказа соедините пожалуи ста с оператором,мне нужен статус заказ соединит пожалу ста с оператор
17868722,алло так не могу получить заказ,6,31,NEUTRAL,0.0,0,LOW,1.0,6.0,UNKNOWN,,алл:1 | мог:1 | получить:1 | заказ:1,алло так не могу получить заказ,алл так не мог получить заказ
10263785,оператор пожалуйста соедини меня,5,32,NEUTRAL,0.0,0,LOW,1.0,5.0,REQUEST,,оператор:1 | пожалу:1 | ста:1 | соедин:1,оператор пожалуи ста соедини меня,оператор пожалу ста соедин мен
20494286,почему мой заказ вернули обратно,5,32,NEUTRAL,0.0,0,LOW,1.0,5.0,QUESTION,,почем:1 | мои:1 | заказ:1 | вернул:1 | обратн:1,почему мои заказ вернули обратно,почем мои заказ вернул обратн
20782296,хотела слушать оператора,3,24,NEUTRAL,0.0,0,LOW,1.0,3.0,UNKNOWN,,хотел:1 | слушать:1 | оператор:1,хотела слушать оператора,хотел слушать оператор
222470,вернуть посылку в аутпост,4,25,NEUTRAL,0.0,0,LOW,1.0,4.0,UNKNOWN,,вернуть:1 | посылк:1 | аутпост:1,вернуть посылку в аутпост,вернуть посылк в аутпост
7867226,код выдачи заказа можно получить,5,32,NEUTRAL,0.0,0,LOW,1.0,5.0,REQUEST,,код:1 | выдач:1 | заказ:1 | получить:1,код выдачи заказа можно получить,код выдач заказ мочь получить
7081352,жалоба на работу пункт выдачи,5,29,NEUTRAL,0.0,0,LOW,1.0,5.0,UNKNOWN,,жалоб:1 | работ:1 | пункт:1 | выдач:1,жалоба на работу пункт выдачи,жалоб на работ пункт выдач
19985725,иван организуй,2,14,NEUTRAL,0.0,0,LOW,1.0,2.0,UNKNOWN,,иван:1 | организу:1,иван организуи,иван организу
21135589,жалоба на сотрудника магазина,4,29,NEUTRAL,0.0,0,LOW,1.0,4.0,UNKNOWN,,жалоб:1 | сотрудник:1 | магазин:1,жалоба на сотрудника магазина,жалоб на сотрудник магазин
10600348,плохо слышно повторите погромче рассказывайте рассказывайте,8,59,NEGATIVE,0.0,1,LOW,0.75,8.0,COMPLAINT,,рассказыва:2 | плох:1 | слышн:1 | повторит:1 | погромч:1,плохо слышно повторите погромче рассказываи те рассказываи те,плох слышн повторит погромч рассказыва те рассказыва те
13640238,у меня нужен код выдачи уже пришел на пять пост а смска не пришла я не могу забрать заказ,19,89,NEUTRAL,0.0,0,HIGH,0.9473684210526315,19.0,UNKNOWN,,нужен:1 | код:1 | выдач:1 | пришел:1 | пять:1,у меня нужен код выдачи уже пришел на пять пост а смска не пришла я не могу забрать заказ,у мен нужен код выдач уже пришел на пять пост а смск не пришл я не мог забрать заказ
7264204,я бы хотела вернуть товар и не забирать его из ячейки это возможно,14,66,NEUTRAL,0.0,0,MEDIUM,1.0,14.0,REQUEST,,хотел:1 | вернуть:1 | товар:1 | забирать:1 | яче:1,я бы хотела вернуть товар и не забирать его из ячеи ки это возможно,я бы хотел вернуть товар и не забирать его из яче ки это возможн
11966537,здравствуйте мне пришел заказ но я не смогла получить его вовремя двадцать первого числа до двадцать первого августа я должна была получить я не получила вот хотела узнать можно ли сейчас еще получить я адреса не знала куда где он,42,230,NEUTRAL,0.0,0,HIGH,0.7857142857142857,42.0,QUESTION | REQUEST | GREETING,,получить:3 | двадцать:2 | перв:2 | здравству:1 | пришел:1,здравствуи те мне пришел заказ но я не смогла получить его вовремя двадцать первого числа до двадцать первого августа я должна была получить я не получила вот хотела узнать можно ли сеи час еще получить я адреса не знала куда где он,здравству те мне пришел заказ но я не смогл получить его воврем двадцать перв числ до двадцать перв август я должн был получить я не получил вот хотел узнать мочь ли сеи час еще получить я адрес не знал куд где он
17097381,не сработал постамат по адресу,5,30,NEUTRAL,0.0,0,LOW,1.0,5.0,UNKNOWN,,сработал:1 | постамат:1 | адрес:1,не сработал постамат по адресу,не сработал постамат по адрес
19934240,угу мой заказ отправлен по другому адресу,7,41,NEUTRAL,0.0,0,LOW,1.0,7.0,UNKNOWN,,угу:1 | мои:1 | заказ:1 | отправлен:1 | друг:1,угу мои заказ отправлен по другому адресу,угу мои заказ отправлен по друг адрес
1517657,у моего заказа статус отправлен на возврат хотя я этого не делал,12,64,NEUTRAL,0.0,0,MEDIUM,1.0,12.0,UNKNOWN,,моег:1 | заказ:1 | статус:1 | отправлен:1 | возврат:1,у моего заказа статус отправлен на возврат хотя я этого не делал,у моег заказ статус отправлен на возврат хот я этог не делал
7168616,меня интересуют вопросы по поводу того как вернуть вещь которая не подошла,12,74,NEUTRAL,0.0,0,MEDIUM,1.0,12.0,QUESTION,,интересуют:1 | вопрос:1 | повод:1 | вернуть:1 | вещь:1,меня интересуют вопросы по поводу того как вернуть вещь которая не подошла,мен интересуют вопрос по повод тог как вернуть вещь котор не подошл
9629436,где можно получить заказ по адресу проспект мира сто восемь восемь б корпус два на кассе пятерочки либо на кассе магазина перекресток,22,133,NEUTRAL,0.0,0,HIGH,0.8636363636363636,22.0,QUESTION | REQUEST,ADDRESS:проспект мира сто восемь восемь б корпус два на кассе пятерочки либо на кассе магазина перекресток,восемь:2 | касс:2 | получить:1 | заказ:1 | адрес:1,где можно получить заказ по адресу проспект мира сто восемь восемь б корпус два на кассе пятерочки либо на кассе магазина перекресток,где мочь получить заказ по адрес проспект мир сто восемь восемь б корпус два на касс пятерочк либ на касс магазин перекресток
16932149,соедините со специалистом заказ отправили обратно хотелось бы вернуть,9,69,NEUTRAL,0.0,0,LOW,1.0,9.0,UNKNOWN,,соединит:1 | специалист:1 | заказ:1 | отправил:1 | обратн:1,соедините со специалистом заказ отправили обратно хотелось бы вернуть,соединит со специалист заказ отправил обратн хотелось бы вернуть
9530056,по заказу я звоню получить не могу,7,34,NEUTRAL,0.0,0,LOW,1.0,7.0,UNKNOWN,,заказ:1 | звон:1 | получить:1 | мог:1,по заказу я звоню получить не могу,по заказ я звон получить не мог
17043647,получится получиться консультант,3,32,NEUTRAL,0.0,0,LOW,1.0,3.0,UNKNOWN,,получитс:1 | получитьс:1 | консультант:1,получится получиться консультант,получитс получитьс консультант
3830008,получил от вас извещение о том что пришел заказ и и данный номер заказа но у меня такого номера нигде нет что это,23,113,NEUTRAL,0.0,0,HIGH,0.9130434782608695,23.0,QUESTION,,заказ:2 | номер:2 | получил:1 | извещени:1 | пришел:1,получил от вас извещение о том что пришел заказ и и данныи номер заказа но у меня такого номера нигде нет что это,получил от вас извещени о том что пришел заказ и и данны номер заказ но у мен так номер нигд нет что это
12304502,не открывается еще и связаться с оператором,7,43,NEUTRAL,0.0,0,LOW,1.0,7.0,UNKNOWN,,открываетс:1 | связатьс:1 | оператор:1,не открывается еще и связаться с оператором,не открываетс еще и связатьс с оператор
8995320,нет я же сделала отказ в тот же день который который я заказывала вот там посмотрите проверьте и мне сказали хорошо я отказалась сразу это неправильно прислали так что направляйте назад я не буду брать,36,201,POSITIVE,1.0,0,HIGH,0.8611111111111112,36.0,QUESTION,,которы:2 | сделал:1 | отказ:1 | день:1 | заказывал:1,нет я же сделала отказ в тот же день которыи которыи я заказывала вот там посмотрите проверьте и мне сказали хорошо я отказалась сразу это неправильно прислали так что направляи те назад я не буду брать,нет я же сделал отказ в тот же день которы которы я заказывал вот там посмотрит проверьт и мне сказал хорош я отказалась сраз это неправильн прислал так что направля те назад я не буд брать
11930209,получить заказ по адресу чкалова дом четыре а,8,45,NEUTRAL,0.0,0,LOW,1.0,8.0,UNKNOWN,ADDRESS:дом четыре а,получить:1 | заказ:1 | адрес:1 | чкалов:1 | дом:1,получить заказ по адресу чкалова дом четыре а,получить заказ по адрес чкалов дом четыр а
18368882,пять два семь восемь восемь один пять четыре шесть три семь восемь семь один,14,76,NEUTRAL,0.0,0,MEDIUM,0.5714285714285714,14.0,UNKNOWN,,семь:3 | восемь:3 | пять:2 | четыр:1 | шесть:1,пять два семь восемь восемь один пять четыре шесть три семь восемь семь один,пять два семь восемь восемь один пять четыр шесть три семь восемь семь один
2405679,просрочил срок получения посылки хочу ее вернуть,7,48,NEUTRAL,0.0,0,LOW,1.0,7.0,REQUEST,,просрочил:1 | срок:1 | получени:1 | посылк:1 | хоч:1,просрочил срок получения посылки хочу ее вернуть,просрочил срок получени посылк хоч ее вернуть
13554529,вернуть на эр цэ,4,16,NEUTRAL,0.0,0,LOW,1.0,4.0,UNKNOWN,,вернуть:1,вернуть на эр цэ,вернуть на эр цэ
19676552,а у вас какой номер покажите возврат товара на двадцать угу,11,59,NEUTRAL,0.0,0,MEDIUM,1.0,11.0,QUESTION,,како:1 | номер:1 | покажит:1 | возврат:1 | товар:1,а у вас какои номер покажите возврат товара на двадцать угу,а у вас како номер покажит возврат товар на двадцать угу
17105446,узнать когда приедет доставка задерживается,5,43,NEUTRAL,0.0,0,LOW,1.0,5.0,QUESTION,,узнать:1 | приедет:1 | доставк:1 | задерживаетс:1,узнать когда приедет доставка задерживается,узнать когд приедет доставк задерживаетс
4594512,мне нужно вернуть заказ обратно на пункт выдачи,8,47,NEUTRAL,0.0,0,LOW,1.0,8.0,REQUEST,,нужный:1 | вернуть:1 | заказ:1 | обратн:1 | пункт:1,мне нужно вернуть заказ обратно на пункт выдачи,мне нужный вернуть заказ обратн на пункт выдач
9760830,плохо печатается стикер,3,23,NEGATIVE,0.0,1,LOW,1.0,3.0,COMPLAINT,,плох:1 | печатаетс:1 | стикер:1,плохо печатается стикер,плох печатаетс стикер
17420483,претензию я хочу составить,4,26,NEUTRAL,0.0,0,LOW,1.0,4.0,REQUEST,,претензи:1 | хоч:1 | составить:1,претензию я хочу составить,претензи я хоч составить
7303860,получить код для детей хорошо,5,29,POSITIVE,1.0,0,LOW,1.0,5.0,UNKNOWN,,получить:1 | код:1 | дете:1,получить код для детеи хорошо,получить код для дете хорош
11332685,узнать по поводу посылки возврата,5,33,NEUTRAL,0.0,0,LOW,1.0,5.0,UNKNOWN,,узнать:1 | повод:1 | посылк:1 | возврат:1,узнать по поводу посылки возврата,узнать по повод посылк возврат
8661796,девушка будьте добры подскажите товар должна была забрать двадцать шестого не получилось просто телефон был в ремонте я не прочитала сообщение его сейчас как то можно вернуть и получить,30,185,NEUTRAL,0.0,0,HIGH,0.9666666666666667,30.0,QUESTION | REQUEST,,девушк:1 | будьт:1 | добр:1 | подскажит:1 | товар:1,девушка будьте добры подскажите товар должна была забрать двадцать шестого не получилось просто телефон был в ремонте я не прочитала сообщение его сеи час как то можно вернуть и получить,девушк будьт добр подскажит товар должн был забрать двадцать шест не получилось прост телефон был в ремонт я не прочитал сообщени его сеи час как то мочь вернуть и получить
1813552,при распаковке посылки посылка была очень сильно повреждена,8,59,NEUTRAL,0.0,0,LOW,1.0,8.0,UNKNOWN,,посылк:2 | распаковк:1 | очень:1 | сильн:1 | поврежден:1,при распаковке посылки посылка была очень сильно повреждена,при распаковк посылк посылк был очень сильн поврежден
17329494,жалоба на пункт приемки товара,5,30,NEUTRAL,0.0,0,LOW,1.0,5.0,UNKNOWN,,жалоб:1 | пункт:1 | приемк:1 | товар:1,жалоба на пункт приемки товара,жалоб на пункт приемк товар
19808132,открыть ячейку по ошибке не тот упаковала товар,9,47,NEUTRAL,0.0,0,LOW,1.0,9.0,UNKNOWN,,открыть:1 | яче:1 | ошибк:1 | упаковал:1 | товар:1,открыть ячеи ку по ошибке не тот упаковала товар,открыть яче ку по ошибк не тот упаковал товар
11004817,я сотрудник я сотрудник магазина мне нужен оператор,8,51,NEUTRAL,0.0,0,LOW,0.75,8.0,UNKNOWN,,сотрудник:2 | магазин:1 | нужен:1 | оператор:1,я сотрудник я сотрудник магазина мне нужен оператор,я сотрудник я сотрудник магазин мне нужен оператор
19001669,с оператором меня соедини ася,5,29,NEUTRAL,0.0,0,LOW,1.0,5.0,UNKNOWN,,оператор:1 | соедин:1 | ася:1,с оператором меня соедини ася,с оператор мен соедин ася
16115679,я не буду его забирать договоренность с магазином,8,49,NEUTRAL,0.0,0,LOW,1.0,8.0,UNKNOWN,,буд:1 | забирать:1 | договоренность:1 | магазин:1,я не буду его забирать договоренность с магазином,я не буд его забирать договоренность с магазин
3939962,при получении не открылся ящик,5,30,NEUTRAL,0.0,0,LOW,1.0,5.0,UNKNOWN,,получени:1 | открылс:1 | ящик:1,при получении не открылся ящик,при получени не открылс ящик
10365141,очень плохо работает ваша горячая линия не дождалась никакого ответа,10,68,NEGATIVE,0.0,1,LOW,1.0,10.0,QUESTION | COMPLAINT,,очень:1 | плох:1 | работает:1 | ваш:1 | горяч:1,очень плохо работает ваша горячая линия не дождалась никакого ответа,очень плох работает ваш горяч лини не дождалась никак ответ
13434359,да я сегодня заберу спасибо большое,6,35,POSITIVE,1.5,0,LOW,1.0,6.0,THANKS,,сегодн:1 | забер:1 | спасиб:1 | больш:1,да я сегодня заберу спасибо большое,да я сегодн забер спасиб больш
8573854,да у меня нет у меня не прислали код выдачи мне пожалуйста пришлите код,15,71,NEUTRAL,0.0,0,MEDIUM,0.8,15.0,REQUEST,,код:2 | прислал:1 | выдач:1 | пожалу:1 | ста:1,да у меня нет у меня не прислали код выдачи мне пожалуи ста пришлите код,да у мен нет у мен не прислал код выдач мне пожалу ста пришлит код
550846,нужно вернуть заказ посылку в магазин,6,37,NEUTRAL,0.0,0,LOW,1.0,6.0,REQUEST,,нужный:1 | вернуть:1 | заказ:1 | посылк:1 | магазин:1,нужно вернуть заказ посылку в магазин,нужный вернуть заказ посылк в магазин
8409635,мне нужно узнать статус возврата который я отправила десятого мая где сейчас находится он,15,89,NEUTRAL,0.0,0,MEDIUM,1.0,15.0,QUESTION | REQUEST,,нужный:1 | узнать:1 | статус:1 | возврат:1 | которы:1,мне нужно узнать статус возврата которыи я отправила десятого мая где сеи час находится он,мне нужный узнать статус возврат которы я отправил десят мая где сеи час находитс он
10422750,получит не тот заказ,4,20,NEUTRAL,0.0,0,LOW,1.0,4.0,UNKNOWN,,получит:1 | заказ:1,получит не тот заказ,получит не тот заказ
10772697,с оператором хотел поговорить сегодня,5,37,NEUTRAL,0.0,0,LOW,1.0,5.0,UNKNOWN,,оператор:1 | хотел:1 | поговорить:1 | сегодн:1,с оператором хотел поговорить сегодня,с оператор хотел поговорить сегодн
778311,я хочу взять посылку чтоб возврат сделать с постаматом,9,54,NEUTRAL,0.0,0,LOW,1.0,9.0,QUESTION | REQUEST,,хоч:1 | взять:1 | посылк:1 | возврат:1 | сделать:1,я хочу взять посылку чтоб возврат сделать с постаматом,я хоч взять посылк чтоб возврат сделать с постамат
15618689,вернуть товар и получить чек на кассе,7,37,NEUTRAL,0.0,0,LOW,1.0,7.0,UNKNOWN,,вернуть:1 | товар:1 | получить:1 | чек:1 | касс:1,вернуть товар и получить чек на кассе,вернуть товар и получить чек на касс
16051214,доставлен бракованный заказ,3,27,NEUTRAL,0.0,0,LOW,1.0,3.0,UNKNOWN,,доставлен:1 | бракованны:1 | заказ:1,доставлен бракованныи заказ,доставлен бракованны заказ
499075,найти посылку по номеру заказа,6,30,NEUTRAL,0.0,0,LOW,1.0,6.0,UNKNOWN,,наи:1 | посылк:1 | номер:1 | заказ:1,наи ти посылку по номеру заказа,наи ти посылк по номер заказ
11377512,курьер не заказан,3,17,NEUTRAL,0.0,0,LOW,1.0,3.0,UNKNOWN,,курьер:1 | заказан:1,курьер не заказан,курьер не заказан
13846714,повторно отправить смску по заказу,5,34,NEUTRAL,0.0,0,LOW,1.0,5.0,UNKNOWN,,повторн:1 | отправить:1 | смск:1 | заказ:1,повторно отправить смску по заказу,повторн отправить смск по заказ
584673,возврата денежных средств,3,25,NEUTRAL,0.0,0,LOW,1.0,3.0,UNKNOWN,,возврат:1 | денежных:1 | средств:1,возврата денежных средств,возврат денежных средств
